Priority;Billing_Agent_Mail_Domain;Billing_Agent_Keyword;Billing_Agent;CDR_param_1;CDR_param_2;CDR_param_3;RFID_param_1;RFID_param_2;RFID_param_3;RFID_param_4;EVSE_param_1;EVSE_param_2;StartDate_param;Quantity_param;Price_param
76;axonaut.fr;Borneco;Borneco;id;authorizationID;;userID;tagID;visualTagID;;user;;startDate;totalConsumptionkWh;price
77;factomos.io;Bump;Bump;Session Id Gireve;Session Id eMSP;;User Id;;;;EVSE Id;;Beginning Date;Energy (kW,h);Price
78;;Chargecloud;ChargeCloud GmbH;Transaction-ID;Roaming-Session-ID;Authenticator;Client Transaction ID;;;;EVSE-ID;;Start;Consumption (kWh);Price (net)
79;citycharging.nl;City;City Charging;CDR_ID;ExternalReference;;Authentication_ID;Contract_ID;;;Charge_Point_ID;;Start_datetime;Volume;Calculated_Cost
80;clem-e.com;Clem;CLEM' SAS MOPEASY | FR*A03;Session Id Gireve;Session Id CPO;Session Id eMSP;User Id;;;;EVSE Id;;Beginning Date;Energy (kW.h);Billing value
81;comfortcharge.de;ComfortCharge;ComfortCharge GmbH;CDR-ID;Session ID;;Unique User ID;;;;Ladepunkt ID;;Ladebeginn;Energiemenge;Nettokosten
82;;Connectned;Connectned;CDR_ID;;;Authentication_ID;;;;Charge_Point_ID;;Start_datetime;Volume;Calculated_Cost
83;;Diego;Diego;CDR_ID;;;Authentication_ID;;;;Charge_Point_ID;;Start_datetime;Volume;Calculated_Cost
84;driveco.com;Driveco;DRIVECO;CDR;Session ID;Gireve ID;transactionRef;;;;EVSE ID;;startDate;energy (Wh);transactionPrice (euros HT)
85;;Duferco;Duferco;ID CDR;;;Transaction ID;;;;Station EVSEID;;Start DateTime;Quantity;Usage Total (VAT)
86;;Enbw;Enbw;cdrid;RoamingSessionId;;directid;;;;;;Startdatetimeiso;Ladeenergie_kwh;Gesamtkosten
87;;Enercity;Enercity AG;SessionID;;;UID;;;;EVSEID;;Session Start;Consumed Energy in kWh;Total Costs in EUR
88;eranovum.energy;Eranovum;Eranovum E-mobility;Session Id Gireve;;;User Id;;;;EVSE Id;;Beginning Date;Energy (kW.h);Billing value
89;;Etotem;E-totem;Identifiant de Session GIREVE;;;Identifiant utilisateur;;;;Identifiant EMI3 de l'EVSE de la charge;;Date / heure de début de charge;Energie Délivrée (Wh);Montant TTC (€)
90;;Freetox;Freetox;;;;;;;;;;;;
91;;Ibderdrola;Ibderdrola;Session ID;;;Id Charging Point (IDPR);;;;     EVSE Id;;Date of starting recharge ;"Energy consumption
(kWh) ";"Cost of the recharge to eMSP
(€)"
92;;komminakationsgateway;komminakationsgateway;Externe Transaktionskennung;OCPP Transaktionskennung;;Transaktionskennung;;;;EVSE-ID;;Beginn [UTC-Zeit];Energie [Wh];Netto [EUR]
93;;Laadkompas;Laadkompas;CDR_ID;;;Authentication_ID;;;;Charge_Point_ID;;Start_datetime;Volume;Calculated_Cost
94;;Mobilize;Mobilize;Partner Session ID;Gireve Session ID;;ID;Auth ID;;;Evseid;;Start Date (GMT);KWh;€ HT
95;;MsuSolutions;MSU Solutions GmbH;;;;;;;;;;;;
96;;Nexteneo;Nexteneo;Session Id Gireve;Session Id CPO;Session Id eMSP;User Id;;;;EVSE Id;;Beginning Date;Energy (kW.h);Billing value
97;;Novaborne;Novaborne;Session Id Gireve;Session Id CPO;Session Id eMSP;User Id;;;;EVSE Id;;Beginning Date;Energy (kW.h);Montant en €
98;;NRG;NRG;CDR_ID;;;Authentication_ID;;;;Charge_Point_ID;;Start_datetime;Volume;Calculated_Cost
99;;Picoty;Picoty;;;;;;;;;;;;
100;;Plugnroll;Plugnroll;SessionID;HubjectSessionId;;;;;;ChargPoint FriendlyCode;;ChargingFrom;Quantity;Amount
101;;Rechargermonauto;Rechargermonauto;Session Id Gireve;;;User Id;;;;EVSE Id;;Beginning Date;Energy (kW,h);Billing value
102;reev.com;Reev;Reev;;;;;;;;;;;;
103;;Rse;Rse;Session Id Gireve;Session Id eMSP;;User Id;;;;EVSE Id;;Beginning Date;Energy (kW,h); Total HT 
104;;SgaIndustrie;SgaIndustrie;Session Id Gireve;Session Id eMSP;;User Id;;;;EVSE Id;;Beginning Date;Energy (kW.h);Session Id eMSP
105;;Siege;Siege;Session Id Gireve;Session Id eMSP;;User Id;;;;EVSE Id;;Beginning Date;Energy (kW.h);Montant
106;;StellaPower;StellaPower;CDR_ID;;;Authentication_ID;;;;Charge_Point_ID;;Start_datetime;Volume;Calculated_Cost
107;;Tap;TapElectric;CDR_ID;;;Authentication_ID;;;;Evse_UID;;Start_datetime;Volume;Calculated_Cost
108;;TCSNL;TCSNL;;;;;;;;;;;;
109;;TCSUK;TCSUK;CDR ID;;;Transaction ID;;;;Charge Point ID;;Begin Date session;Quantity energy;Amount Excluding VAT
110;;Thales;Thales;;;;;;;;;;;;
111;;Wien;Wien;;;;SessionID;;;;EVSEID;;sessionstarttime;kWh;EURO
112;;ZEBorne;ZEBorne;external-id;evco-id;;external-authorization-id;;;;evse-id;;start-date;energy;cpo-price
