Cpo_Id;Billing_Agent_Keyword;Last_Update
FR*Y03;Bouygues;2024-10-01 00:00:00+00:00
FR*Y01;Bouygues;2024-10-01 00:00:00+00:00
LU*MOB;Chargecloud;2024-11-01 00:00:00+00:00
FR*ENR;Chargecloud;2024-11-01 00:00:00+00:00
DE*TRO;Chargecloud;2024-11-01 00:00:00+00:00
DE*WER;Chargecloud;2024-11-01 00:00:00+00:00
DE*753;Chargecloud;2024-11-01 00:00:00+00:00
DE*360;Chargecloud;2024-11-01 00:00:00+00:00
DE*574;Chargecloud;2024-11-01 00:00:00+00:00
DE*136;Chargecloud;2024-11-01 00:00:00+00:00
DE*1HD;Chargecloud;2024-11-01 00:00:00+00:00
DE*217;Chargecloud;2024-11-01 00:00:00+00:00
DE*333;Chargecloud;2024-11-01 00:00:00+00:00
DE*AEG;Chargecloud;2024-11-01 00:00:00+00:00
DE*ARK;Chargecloud;2024-11-01 00:00:00+00:00
DE*ASE;Chargecloud;2024-11-01 00:00:00+00:00
DE*BEP;Chargecloud;2024-11-01 00:00:00+00:00
DE*MWE;Chargecloud;2024-11-01 00:00:00+00:00
DE*SLM;Chargecloud;2024-11-01 00:00:00+00:00
DE*MNV;Chargecloud;2024-11-01 00:00:00+00:00
DE*REA;Chargecloud;2024-11-01 00:00:00+00:00
DE*LVP;Chargecloud;2024-11-01 00:00:00+00:00
DE*MLK;Chargecloud;2024-11-01 00:00:00+00:00
DE*MVV;Chargecloud;2024-11-01 00:00:00+00:00
DE*MUC;Chargecloud;2024-11-01 00:00:00+00:00
DE*EWB;Chargecloud;2024-11-01 00:00:00+00:00
DE*EWP;Chargecloud;2024-11-01 00:00:00+00:00
DE*LDK;Chargecloud;2024-11-01 00:00:00+00:00
DE*KIE;Chargecloud;2024-11-01 00:00:00+00:00
DE*KNA;Chargecloud;2024-11-01 00:00:00+00:00
DE*KWB;Chargecloud;2024-11-01 00:00:00+00:00
LU*PCT;Chargecloud;2024-11-01 00:00:00+00:00
DE*CM1;Chargecloud;2024-11-01 00:00:00+00:00
DE*ERE;Chargecloud;2024-11-01 00:00:00+00:00
AT*KWS;Chargecloud;2024-11-01 00:00:00+00:00
DE*NMS;Chargecloud;2024-11-01 00:00:00+00:00
DE*NOM;Chargecloud;2024-11-01 00:00:00+00:00
DE*EVL;Chargecloud;2024-11-01 00:00:00+00:00
DE*BSW;Chargecloud;2024-11-01 00:00:00+00:00
DE*ETA;Chargecloud;2024-11-01 00:00:00+00:00
DE*ELC;Chargecloud;2024-11-01 00:00:00+00:00
DE*DEW;Chargecloud;2024-11-01 00:00:00+00:00
DE*EIN;Chargecloud;2024-11-01 00:00:00+00:00
